Movie Name,Year,Keyword,IMDb Rating,Box Office
Ralph Breaks the Internet,2018,lethal virus,7.1,
Ralph Breaks the Internet,2018,aftercreditsstinger,7.1,
Ralph Breaks the Internet,2018,duringcreditsstinger,7.1,
One Hundred and One Dalmatians,1961,"london, england",7.2,
One Hundred and One Dalmatians,1961,puppy,7.2,
One Hundred and One Dalmatians,1961,dog,7.2,
One Hundred and One Dalmatians,1961,dalmatian,7.2,
One Hundred and One Dalmatians,1961,female villain,7.2,
Peter Pan,1953,flying,7.3,
Peter Pan,1953,sibling relationship,7.3,
Peter Pan,1953,becoming an adult,7.3,
Peter Pan,1953,magic,7.3,
Peter Pan,1953,fairy,7.3,
Peter Pan,1953,child hero,7.3,
Peter Pan,1953,bravery,7.3,
Peter Pan,1953,musical,7.3,
Peter Pan,1953,pirate gang,7.3,
Peter Pan,1953,mermaid,7.3,
Peter Pan,1953,pirate,7.3,
Peter Pan,1953,native peoples,7.3,
Dumbo,1941,circus,7.2,
Dumbo,1941,mother,7.2,
Dumbo,1941,dream,7.2,
Dumbo,1941,mouse,7.2,
Dumbo,1941,elephant,7.2,
Dumbo,1941,nightmare,7.2,
Dumbo,1941,suffering,7.2,
Dumbo,1941,clown,7.2,
Dumbo,1941,ear,7.2,
Dumbo,1941,musical,7.2,
Dumbo,1941,crow,7.2,
Dumbo,1941,affection,7.2,
Dumbo,1941,storch,7.2,
Dumbo,1941,big ears,7.2,
The Fox and the Hound 2,2006,fox,5.3,
The Fox and the Hound 2,2006,dog,5.3,
Aladdin and the King of Thieves,1996,musical,6.4,
Aladdin and the King of Thieves,1996,flying carpet,6.4,
Aladdin and the King of Thieves,1996,orient,6.4,
Aladdin and the King of Thieves,1996,sequel,6.4,
Aladdin and the King of Thieves,1996,genie,6.4,
Aladdin and the King of Thieves,1996,arabian nights,6.4,
Belle's Magical World,1998,teamwork,5.4,
Belle's Magical World,1998,friendship,5.4,
Belle's Magical World,1998,princess,5.4,
Mulan,1998,homeland,7.6,
